ABS,ActiveSafetySysNote,AdaptiveCruiseControl,AdaptiveDrivingBeam,AdaptiveHeadlights,AdditionalErrorText,AirBagLocCurtain,AirBagLocFront,AirBagLocKnee,AirBagLocSeatCushion,AirBagLocSide,AutoReverseSystem,AutomaticPedestrianAlertingSound,AxleConfiguration,Axles,BasePrice,BatteryA,BatteryA_to,BatteryCells,BatteryInfo,BatteryKWh,BatteryKWh_to,BatteryModules,BatteryPacks,BatteryType,BatteryV,BatteryV_to,BedLengthIN,BedType,BlindSpotIntervention,BlindSpotMon,BodyCabType,BodyClass,BrakeSystemDesc,BrakeSystemType,BusFloorConfigType,BusLength,BusType,CAN_AACN,CIB,CashForClunkers,ChargerLevel,ChargerPowerKW,CoolingType,CurbWeightLB,CustomMotorcycleType,DaytimeRunningLight,DestinationMarket,DisplacementCC,DisplacementCI,DisplacementL,Doors,DriveType,DriverAssist,DynamicBrakeSupport,EDR,ESC,EVDriveUnit,ElectrificationLevel,EngineConfiguration,EngineCycles,EngineCylinders,EngineHP,EngineHP_to,EngineKW,EngineManufacturer,EngineModel,EntertainmentSystem,ErrorCode,ErrorText,ForwardCollisionWarning,FuelInjectionType,FuelTypePrimary,FuelTypeSecondary,GCWR,GCWR_to,GVWR,GVWR_to,KeylessIgnition,LaneCenteringAssistance,LaneDepartureWarning,LaneKeepSystem,LowerBeamHeadlampLightSource,Make,MakeID,Manufacturer,ManufacturerId,Model,ModelID,ModelYear,MotorcycleChassisType,MotorcycleSuspensionType,NCSABodyType,NCSAMake,NCSAMapExcApprovedBy,NCSAMapExcApprovedOn,NCSAMappingException,NCSAModel,NCSANote,NonLandUse,Note,OtherBusInfo,OtherEngineInfo,OtherMotorcycleInfo,OtherRestraintSystemInfo,OtherTrailerInfo,ParkAssist,PedestrianAutomaticEmergencyBraking,PlantCity,PlantCompanyName,PlantCountry,PlantState,PossibleValues,Pretensioner,RearAutomaticEmergencyBraking,RearCrossTrafficAlert,RearVisibilitySystem,SAEAutomationLevel,SAEAutomationLevel_to,SeatBeltsAll,SeatRows,Seats,SemiautomaticHeadlampBeamSwitching,Series,Series2,SteeringLocation,SuggestedVIN,TPMS,TopSpeedMPH,TrackWidth,TractionControl,TrailerBodyType,TrailerLength,TrailerType,TransmissionSpeeds,TransmissionStyle,Trim,Trim2,Turbo,VIN,ValveTrainDesign,VehicleDescriptor,VehicleType,WheelBaseLong,WheelBaseShort,WheelBaseType,WheelSizeFront,WheelSizeRear,Wheels,Windows
,,,,,,1st and 2nd Rows,1st Row (Driver and Passenger),,,1st and 2nd Rows,,,,,,,,,,,,,,,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,2500.0,152.55936023683,2.5,5,4WD/4-Wheel Drive/4x4,,,,,,,,,,,,,,GDI THETA III,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,,,Gasoline,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,KIA,499,"KIA GEORGIA, INC",20996,Sportage,2770,2024,Not Applicable,Not Applicable,,,,,,,,,,,,,Seat Belt: All:Positions,,,,WEST POINT,KaGA,UNITED STATES (USA),GEORGIA,,,,,,,,Manual,,,,"X-PRO, X-PRO PRESTIGE",Wagon Body Style,,,Direct,,,,Not Applicable,,Not Applicable,,,,,,5XYK7CDF2RG195787,Dual Overhead Cam (DOHC),5XYK7CDF*RG,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
,,,,,,,1st Row (Driver and Passenger),Driver Seat Only,,1st and 2nd Rows,,,,,,,,,,,,,,,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,1500.0,91.53561614209,1.5,4,4WD/4-Wheel Drive/4x4,,,,,,,In-Line,,3,,,,Ford,DRAGON,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,,,Gasoline,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,FORD,460,"FORD MOTOR COMPANY, MEXICO",979,Bronco Sport,27411,2024,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,HERMOSILLO,,MEXICO,SONORA,,,,,,,,Manual,,,,BIG BEND,,,,Direct,,,,Not Applicable,,Not Applicable,,,,,,3FMCR9B62RRE07996,,3FMCR9B6*RR,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
,,,,,,All Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,Hydraulic,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,,,,4,AWD/All-Wheel Drive,,,,,,BEV (Battery Electric Vehicle),,,,,,,,X0E + EC6,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,,,Electric,,,,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,,,,,CADILLAC,469,GENERAL MOTORS LLC,984,Lyriq,30011,2024,Not Applicable,Not Applicable,,,,,,,,,,,"ELECTRIC, BET, 12-MOD",,AYG - Active Manual Belts,,,,SPRING HILL,,UNITED STATES (USA),TENNESSEE,,,,,,,,Manual,,,,Lux-1,Cab/Utility Body Style,,,Direct,,,,Not Applicable,,Not Applicable,,,,,,1GYKPPRL5RZ129879,,1GYKPPRL*RZ,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
Standard,,,,,,1st and 2nd Rows,1st Row (Driver and Passenger),,,1st Row (Driver and Passenger),Standard,,,2,27990,,,,,,,,,,,,,,,Standard,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,Standard,,3300.0,201.37835551261,3.3,4,4WD/4-Wheel Drive/4x4,,Standard,,Standard,,,,,6,290,,,KMC,GDI Lambda-II,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,,,Gasoline,,,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,LED,KIA,499,"KIA GEORGIA, INC",20996,Sorento,2769,2020,Not Applicable,Not Applicable,,,,,,,,,,,"GDI, Lambda-II",,,,,,WEST POINT,Kia Motors Manufacturing Georgia Inc (KMMG),UNITED STATES (USA),GEORGIA,,,,Standard,Standard,,,Manual,3,7,Standard,"L, LX, S",,Left-Hand Drive (LHD),,Direct,,,Standard,Not Applicable,,Not Applicable,,Automatic,,,,5XYPGDA57LG695779,Dual Overhead Cam (DOHC),5XYPGDA5*LG,MULTIPURPOSE PASSENGER VEHICLE (MPV),,109.40,,,,4,
Standard,,Standard,,,,1st and 2nd Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st and 2nd Rows,Standard,,,,,,,,,,,,,,,,,Not Applicable,,Standard,Not Applicable,Hatchback/Liftback/Notchback,,,Not Applicable,,Not Applicable,,Standard,,,,,,Not Applicable,Standard,,1600.0,97.63799055157,1.6,4,4x2,,Standard,Standard,Standard,,,,,,,,,,,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,Standard,,Gasoline,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)","Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",Standard,,Standard,,LED,NISSAN,478,"NISSAN MEXICANA, S.A. DE C.V.",999,Kicks,22791,2024,Not Applicable,Not Applicable,,,,,,,,,,,,,3-Point Manual Belts: Driver and Passenger / 3-Point Manual Belts: 2nd row outboard & center,,Standard,Standard,AGUASCALIENTES,Mexico Aguascalientes Plant 1,MEXICO,AGUASCALIENTES,,,Standard,Standard,Standard,,,Manual,2,5,Standard,,,,,Direct,,,Standard,Not Applicable,,Not Applicable,,Continuously Variable Transmission (CVT),SR,,,3N1CP5DV9RL499427,,3N1CP5DV*RL,PASSENGER CAR,,,,,,,
Standard,,Standard,,,,1st and 2nd Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st and 2nd Rows,Standard,,,,,,,,,,,,,,,,,Not Applicable,,Standard,Not Applicable,Hatchback/Liftback/Notchback,,,Not Applicable,,Not Applicable,,Standard,,,,,,Not Applicable,,,1600.0,97.63799055157,1.6,4,4x2,,Standard,Standard,Standard,,,,,,,,,,,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,Standard,,Gasoline,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)","Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",Standard,,Standard,,Halogen,NISSAN,478,"NISSAN MEXICANA, S.A. DE C.V.",999,Kicks,22791,2024,Not Applicable,Not Applicable,,,,,,,,,,,,,3-Point Manual Belts: Driver and Passenger / 3-Point Manual Belts: 2nd row outboard & center,,Standard,Standard,AGUASCALIENTES,Mexico Aguascalientes Plant 1,MEXICO,AGUASCALIENTES,,,Standard,Standard,Standard,,,Manual,2,5,Standard,,,,,Direct,,,Standard,Not Applicable,,Not Applicable,,Continuously Variable Transmission (CVT),SV,,,3N1CP5CV7RL477122,,3N1CP5CV*RL,PASSENGER CAR,,,,,,,
Standard,,Standard,,,,1st and 2nd Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st and 2nd Rows,Standard,,,,,,,,,,,,,,,,,Not Applicable,,Standard,Not Applicable,Hatchback/Liftback/Notchback,,,Not Applicable,,Not Applicable,,Standard,,,,,,Not Applicable,Standard,,1600.0,97.63799055157,1.6,4,4x2,,Standard,Standard,Standard,,,,,,,,,,,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,Standard,,Gasoline,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)","Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",Standard,,Standard,,LED,NISSAN,478,"NISSAN MEXICANA, S.A. DE C.V.",999,Kicks,22791,2024,Not Applicable,Not Applicable,,,,,,,,,,,,,3-Point Manual Belts: Driver and Passenger / 3-Point Manual Belts: 2nd row outboard & center,,Standard,Standard,AGUASCALIENTES,Mexico Aguascalientes Plant 1,MEXICO,AGUASCALIENTES,,,Standard,Standard,Standard,,,Manual,2,5,Standard,,,,,Direct,,,Standard,Not Applicable,,Not Applicable,,Continuously Variable Transmission (CVT),SR,,,3N1CP5DV3RL497026,,3N1CP5DV*RL,PASSENGER CAR,,,,,,,
,,,,,,1st and 2nd Rows,1st Row (Driver and Passenger),Driver Seat Only,,1st Row (Driver and Passenger),,,,,,,,,"Battery: Li-ion polymer, 5.5Ah, Motor: PMSM 44.2kW",,,,,Lithium-Ion/Li-Ion,270,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,1600.0,97.63799055157,1.6,5,4WD/4-Wheel Drive/4x4,,,,,Single Motor,HEV (Hybrid Electric Vehicle) - Level Unknown,,,,,,44.2,KMC,T-GDI Gamma-II,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,,,Gasoline,Electric,,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,KIA,499,KIA CORPORATION,21994,Sorento,2769,2024,Not Applicable,Not Applicable,,,,,,,,,,,,,Seat Belt: All Positions,,,,HWASUNG,,SOUTH KOREA,GYEONGGI-DO,,,,,,,,Manual,,,,,Wagon Body Style,,,Direct,,,,Not Applicable,,Not Applicable,,,EX,,Yes,KNDRHDLG0R5258387,Dual Overhead Cam (DOHC),KNDRHDLG*R5,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
Standard,,,,,,1st and 2nd Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,,,,,,,,,,,,,,,,,Optional,Crew/Super Crew/Crew Max,Pickup,4-Wheel ABS,,Not Applicable,,Not Applicable,,Standard,,,,,,Not Applicable,,,3800.0,231.89022755998,3.8,,4WD/4-Wheel Drive/4x4,,Standard,Standard,Standard,,,,,,,,,,,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,Standard,,Gasoline,,,,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,Standard,,,,,NISSAN,478,"NISSAN NORTH AMERICA, INC.",997,Frontier,1919,2023,Not Applicable,Not Applicable,,,,,,,,,,,,,Front: 3-Point Manual Belts / Rear: 3-Point Manual Belts (Outboard/Center),,,Standard,CANTON,Canton Plant,UNITED STATES (USA),MISSISSIPPI,,,,,Standard,,,Manual,,,Standard,,,,,Direct,,,Standard,Not Applicable,,Not Applicable,,,Crew Cab,,,1N6ED1EK0PN660933,,1N6ED1EK*PN,TRUCK,,,,,,,
,,,,,,1st and 2nd and 3rd Rows,1st Row (Driver and Passenger),Driver Seat Only,,1st and 2nd Rows,,,,,,,,,,,,,,,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,3800.0,231.89022755998,3.8,5,4WD/4-Wheel Drive/4x4,,,,,,,,,6,291,,,KIA,GDI Lambda-II,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,,,Gasoline,,,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,KIA,499,"KIA GEORGIA, INC",20996,Telluride,25756,2024,Not Applicable,Not Applicable,,,,,,,,,,,,,Seat Belt: All Positions,,,,WEST POINT,KaGA,UNITED STATES (USA),GEORGIA,,,,,,,,Manual,,,,"SX, SX X-LINE / X-PRO / PRESTIGE / PRESTIGE X-LINE / PRESTIGE X-PRO",Wagon Body Style,,,Direct,,,,Not Applicable,,Not Applicable,,,,,,5XYP5DGC5RG506437,Dual Overhead Cam (DOHC),5XYP5DGC*RG,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
