vin,name,model_id,make_name,model_name,body_style,door_count,engine_cylinders,price,transmission,trim,year,normalized_color_exterior,normalized_color_interior
19UUA66215A041833,Acura TL,20000008,Acura,TL,Sedan,4,0,5999,Automatic,3.2,2005,White,Black
5FRYD3H39HB010853,Acura MDX,20000002,Acura,MDX,SUV,4,0,19999,Automatic,3.5L,2017,Silver,Gray
5J8TC2H86NL004815,Acura RDX,20000004,Acura,RDX,SUV,4,0,39911,Automatic,A-Spec Advance Package,2022,Blue,
5J8TC1H67NL006730,Acura RDX,20000004,Acura,RDX,SUV,4,0,38995,Automatic,A-Spec Package,2022,White,Red
JH4NA1156MT001434,Acura NSX,20000003,Acura,NSX,,2,0,139995,Manual,,1991,Red,Black
19UUA9F50CA000604,Acura TL,20000008,Acura,TL,Sedan,4,0,9995,Automatic,Technology,2012,Gray,Black
5J8TB3H59DL002487,Acura RDX,20000004,Acura,RDX,,4,0,15399,Automatic,Technology,2013,Red,White
19UUB2F53HA002049,Acura TLX,20001152,Acura,TLX,Sedan,4,0,16995,Automatic,w/Technology Package,2017,Silver,Black
19UDE4H68PA011773,Acura Integra,20000001,Acura,Integra,Hatchback,4,0,30998,Automatic,A-Spec Technology,2023,White,Red
5FRYD3H28GB003124,Acura MDX,20000002,Acura,MDX,SUV,4,0,17498,Automatic,,2016,White,Beige
19UUA66236A061843,Acura TL,20000008,Acura,TL,Sedan,4,0,7499,Automatic,,2006,Silver,Black
5J8YD8H85RL001884,Acura MDX,20000002,Acura,MDX,SUV,4,0,72980,Automatic,Type S w/Advance Package,2024,White,Red
5J8YD9H44NL003946,Acura MDX,20000002,Acura,MDX,SUV,4,0,40995,Automatic,Technology,2022,Black,
19UDE2F70MA010483,Acura ILX,20001064,Acura,ILX,Sedan,4,0,23998,Automatic,Premium &amp; A-SPEC Packages,2021,White,Gray
5J8TB4H39EL012071,Acura RDX,20000004,Acura,RDX,SUV,4,0,12888,Automatic,,2014,Gray,Black
19UUB2F3XFA008409,Acura TLX,20001152,Acura,TLX,Sedan,4,0,14995,Automatic,V6,2015,Black,Black
