vin,name,model_id,make_name,model_name,body_style,door_count,engine_cylinders,price,transmission,trim,year,normalized_color_exterior,normalized_color_interior
JH4CW2H68BC002126,Acura TSX,20000009,Acura,TSX,Wagon,4,0,11995,Automatic,Technology,2011,Gray,Black
JH4CU2F66CC002409,Acura TSX,20000009,Acura,TSX,Sedan,4,0,12495,Automatic,Technology,2012,Black,Gray
5J8TC1H39KL012563,Acura RDX,20000004,Acura,RDX,SUV,4,0,24998,Automatic,,2019,Black,Black
5J8YE1H0XNL037207,Acura MDX,20000002,Acura,MDX,SUV,4,0,40000,Automatic,A-Spec Package,2022,,
19UUA9F50CA000604,Acura TL,20000008,Acura,TL,Sedan,4,0,9995,Automatic,Technology,2012,Gray,Black
5J8TC1H51LL006713,Acura RDX,20000004,Acura,RDX,SUV,4,0,27900,Automatic,Technology Package,2020,Silver,Black
5J8TB3H33HL002408,Acura RDX,20000004,Acura,RDX,SUV,4,0,17299,Automatic,,2017,Black,Black
5J8TC1H67NL004816,Acura RDX,20000004,Acura,RDX,SUV,4,0,35498,Automatic,A-Spec,2022,White,
19UUB5F54MA012620,Acura TLX,20001152,Acura,TLX,Sedan,4,0,32488,Automatic,A-Spec,2021,Black,Black
19UUB1F37LA007627,Acura TLX,20001152,Acura,TLX,Sedan,4,0,23897,Automatic,,2020,Silver,Black
5J8YD3H83LL000212,Acura MDX,20000002,Acura,MDX,SUV,4,0,30185,Automatic,3.5L w/Advance Package,2020,Gray,Black
19UUB5F30PA002542,Acura TLX,20001152,Acura,TLX,sedan,4,4,38495,Automatic,,2023,Modern Steel Metallic,ebony
19UUB1F30GA010164,Acura TLX,20001152,Acura,TLX,Sedan,4,0,18150,Automatic,,2016,White,Brown
5J8YD3H56LL007791,Acura MDX,20000002,Acura,MDX,SUV,4,0,26988,Automatic,3.5L w/Technology Package,2020,White,Black
5J8YD9H39NL002749,Acura MDX,20000002,Acura,MDX,Sport Utility,4,0,36499,Automatic,,2022,Blue,Beige
5J8TB3H5XHL013214,Acura RDX,20000004,Acura,RDX,SUV,4,0,16690,Automatic,Technology Package,2017,Silver,Black
